CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
12910742,龍衛國際室內裝修股份有限公司,臺北市中正區北平東路28號8樓之1,臺北市中正區梅花里4鄰北平東路28號,303012.506,2770960.213
12934152,大邑室內裝修工程有限公司,臺北市內湖區文德路36號3樓,臺北市內湖區瑞陽里21鄰文德路36號,308524.489,2774578.477
12935027,弘量國際室內裝修股份有限公司,臺北市中山區錦州街231巷35號1樓,臺北市中山區新生里3鄰錦州街231巷35號,303739.859,2772717.929
12937806,霖垣室內裝修設計工程有限公司,臺北市大安區臥龍街272巷9號1樓,臺北市大安區黎和里13鄰臥龍街272巷9號,306329.004,2767767.586
12939706,立石室內裝修設計工程股份有限公司,臺北市中正區仁愛路2段45號3樓,臺北市中正區文北里13鄰仁愛路二段45號,303393.46,2770139.076
12940210,頂森室內裝修設計有限公司,臺北市大同區承德路1段105號7樓之2,臺北市大同區建泰里14鄰承德路一段105號,302245.769,2771731.094
12942097,天羽室內裝修設計工程有限公司,臺北市士林區中山北路6段200號,臺北市士林區蘭雅里23鄰中山北路六段200號,302976.473,2777855.909
12943201,百辰國際室內裝修股份有限公司,臺北市北投區明德路65號3樓,臺北市北投區石牌里3鄰明德路65號,302286.456,2777875.454
12943309,皓鄴室內裝修有限公司,臺北市內湖區康寧路３段５４之７號４樓之２,臺北市內湖區葫洲里12鄰康寧路三段54之7號,311470.345,2773843.839
12944383,祥德興室內裝修有限公司,臺北市中正區和平西路2段141號4樓之5,臺北市中正區愛國里5鄰和平西路二段141號,301035.812,2769570.519
12949824,盛宇室內裝修有限公司,臺北市士林區承德路4段10巷64號1樓,臺北市士林區明勝里15鄰承德路四段10巷64號,302405.242,2774773.371
12951594,仲觀室內裝修工程有限公司,臺北市大安區仁愛路3段25號2樓之1,臺北市大安區民輝里1鄰仁愛路三段25號,303918.869,2770156.722
12951829,竟泰室內裝修工程有限公司,臺北市信義區基隆路1段364巷40號,臺北市信義區西村里27鄰基隆路一段364巷40號,306327.118,2769771.743
12953798,宏信室內裝修設計有限公司,臺北市南港區忠孝東路6段70巷3號,臺北市南港區萬福里2鄰忠孝東路六段70巷3號,308943.052,2771042.755
12954327,高藝室內裝修有限公司,臺北市中山區民生東路3段92號8樓之3,臺北市中山區龍洲里17鄰民生東路三段92號,304861.082,2772260.4
12955992,大直室內裝修設計工程有限公司,臺北市北投區光明路223號9樓,臺北市北投區中心里2鄰光明路223號,300822.281,2780990.17
12956177,瑞多室內裝修設計工程有限公司,臺北市松山區南京東路5段336號9樓之5,臺北市松山區新聚里8鄰南京東路五段336號,307404.693,2771556.222
12957730,完美主義室內裝修設計工程股份有限公司,臺北市大安區敦化南路1段329巷6弄7號(1樓),臺北市大安區敦安里21鄰敦化南路一段329巷6弄7號,305471.815,2769637.665
12962229,萬竹室內裝修設計工程有限公司,臺北市大安區忠孝東路4段235號11樓,臺北市大安區車層里6鄰忠孝東路四段235號,305880.051,2770501.88
12963281,聖笠室內裝修工程有限公司,臺北市松山區敦化北路201之1號地下室,臺北市松山區精忠里4鄰敦化北路201之1號,305449.854,2772106.548
12963613,芸鼎室內裝修有限公司,臺北市大安區忠孝東路４段１８１巷４０弄１８號２樓,臺北市大安區建安里4鄰忠孝東路四段181巷40弄18號,305490.402,2770751.333
12966013,中代室內裝修工程有限公司,臺北市中山區長春路368號6樓之1,臺北市中山區復華里3鄰長春路368號,304758.296,2771920.642
12966421,和昱室內裝修設計工程有限公司,臺北市中正區重慶南路1段121號8樓之6,臺北市中正區黎明里9鄰重慶南路一段121號,301802.599,2770552.616
12971923,疊意閣室內裝修有限公司,臺北市松山區慶城街6之3號7樓之2,臺北市松山區中正里26鄰慶城街6之3號,304983.429,2771695.9
12972423,日月鼎室內裝修企業股份有限公司,臺北市士林區天玉街38巷11之2號1樓,臺北市士林區天玉里19鄰天玉街38巷11之2號,303356.223,2779184.722
12975569,日騰室內裝修有限公司,臺北市大安區復興南路1段137號16樓之1,臺北市大安區光武里27鄰復興南路一段137號,304895.124,2770582.685
12976785,崴聯室內裝修工程股份有限公司,臺北市松山區八德路3段12巷57弄3號,臺北市松山區敦化里25鄰八德路三段12巷57弄3號,305584.277,2770917.982
12980606,京展室內裝修有限公司,臺北市內湖區成功路2段312巷43號,臺北市內湖區湖興里17鄰成功路二段312巷43號,309375.434,2773358.994
12983929,勝弘室內裝修工程有限公司,臺北市信義區虎林街232巷42號,臺北市信義區國業里25鄰虎林街232巷42號,308175.702,2769926.763
13010179,春宇室內裝修工程有限公司,臺北市中山區松江路204巷10號,臺北市中山區中吉里21鄰松江路204巷10號,303716.177,2772240.342
13014386,威眾室內裝修工程有限公司,臺北市松山區南京東路4段15號7樓,臺北市松山區中華里11鄰南京東路四段15號,305497.823,2771640.398
