"Response_X","Response_Y","R_cat","P_cat","M_cat"
300651.438,2779905.494,1,0,0
300635.997,2779901.84,1,0,0
300598.851,2779867.123,1,0,0
300545.432,2779871.216,2,0,0
300517.654,2779842.868,1,0,0
311935.62,2772113.261,1,0,0
311900.146,2772357.494,3,1,0
311835.501,2772182.452,24,32,1
311910.203,2772214.799,8,0,0
311933.316,2772076.322,1,0,0
311957.936,2772110.513,1,0,0
311822.023,2772582.823,3,0,0
311961.231,2772571.582,1,0,0
311960.779,2772577.016,1,0,0
311923.833,2772565.72,1,0,0
304786.493,2765463.198,1,0,0
304789.388,2765426.077,1,0,0
304891.919,2765638.274,3,0,0
306489.027,2764327.18,1,0,0
306443.259,2764301.341,1,0,0
306233.237,2764360.329,1,0,0
306570.13,2764401.645,1,0,0
307217.629,2764837.435,0,0,3
307100.216,2764688.134,0,0,1
307129.848,2764673.054,1,0,0
307171.954,2764778.491,1,0,0
307209.249,2764789.861,1,0,0
303377.194,2778279.355,8,0,0
303115.072,2778275.526,1,0,0
303457.534,2778308.924,1,0,0
303121.14,2778250.928,1,0,0
303510.471,2778311.738,1,0,0
303124.524,2778277.105,1,0,0
303859.06,2778164.054,1,0,0
303863.332,2778116.401,1,2,0
303854.704,2778070.105,1,0,0
303828.281,2778359.031,1,0,0
303145.365,2778259.422,2,0,0
303140.089,2778277.985,1,2,0
304080.187,2778407.595,1,0,0
304083.363,2778407.768,2,0,0
304102.916,2778413.223,4,0,1
304183.328,2778284.214,2,1,0
304193.587,2778285.394,1,0,0
304129.277,2778300.929,1,0,0
304093.9,2778247.997,1,0,0
304188.117,2778367.514,1,0,0
304191.309,2778316.274,1,0,0
304190.711,2778327.971,1,0,0
304182.348,2778331.547,1,0,0
304209.654,2778330.574,1,0,0
304223.142,2778353.84,10,3,0
304126.938,2778342.398,1,0,0
304131.49,2778309.564,2,0,0
304050.118,2778325.577,3,0,2
304162.074,2778428.332,1,0,0
304228.059,2778451.2,1,0,0
303169.891,2778282.474,1,0,0
303072.467,2778245.815,1,0,0
303077.425,2778228.206,1,0,0
