"CID","CNAME","CADDR","IND_CAT","Response_Address","Response_X","Response_Y","city","dist","village","neighbour"
"25543939","艾凱莎精緻美容店","臺北市松山區八德路2段366巷45弄1號","R_cat","臺北市松山區中崙里15鄰八德路二段366巷45弄1號","305103.595",2771031.74,"臺北市","松山區","中崙里","15鄰"
"17752222","金葉雲南小館","臺北市松山區八德路2段366巷45弄3號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段366巷45弄3號","305109.603",2771031.805,"臺北市","松山區","中崙里","15鄰"
"41372399","余韻日式餐廳","臺北市松山區八德路2段366巷49號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段366巷49號","305100.913",2771005.615,"臺北市","松山區","中崙里","15鄰"
"26339647","泰思雅養生館","臺北市松山區八德路2段369號","R_cat","臺北市松山區中正里1鄰八德路二段369號","304966.968",2771192.865,"臺北市","松山區","中正里","1鄰"
"26339225","阿明餐飲工作室","臺北市松山區八德路2段373號1樓","R_cat","臺北市松山區中正里1鄰八德路二段373號","304977.721",2771195.827,"臺北市","松山區","中正里","1鄰"
"81601783","琉璃光企業社","臺北市松山區八德路2段374號12樓","R_cat","臺北市松山區中崙里6鄰八德路二段374號","305096.515",2771200.543,"臺北市","松山區","中崙里","6鄰"
"38513493","三富行企業社","臺北市松山區八德路2段374號7樓","R_cat","臺北市松山區中崙里6鄰八德路二段374號","305096.515",2771200.543,"臺北市","松山區","中崙里","6鄰"
"10371450","普力國際家品行","臺北市松山區八德路2段374號11樓之8","R_cat","臺北市松山區中崙里6鄰八德路二段374號","305096.515",2771200.543,"臺北市","松山區","中崙里","6鄰"
"26368570","孔雀視覺廣告社","臺北市松山區八德路2段374號2樓之1","R_cat","臺北市松山區中崙里6鄰八德路二段374號","305096.515",2771200.543,"臺北市","松山區","中崙里","6鄰"
"48677446","華達國際企業社","臺北市松山區八德路2段374號7樓","R_cat","臺北市松山區中崙里6鄰八德路二段374號","305096.515",2771200.543,"臺北市","松山區","中崙里","6鄰"
"31873084","蒜頭商行","臺北市松山區八德路2段375號1樓","R_cat","臺北市松山區中正里1鄰八德路二段375號","304983.494",2771197.196,"臺北市","松山區","中正里","1鄰"
"81719220","雲泰小吃店","臺北市松山區八德路2段377號1樓","R_cat","臺北市松山區中正里1鄰八德路二段377號","304988.372",2771198.709,"臺北市","松山區","中正里","1鄰"
"26234290","日瑪通訊社","臺北市松山區八德路2段379號","R_cat","臺北市松山區中正里1鄰八德路二段379號","304994.896",2771200.419,"臺北市","松山區","中正里","1鄰"
